"
בלובירד
",ג’נבייב גרהאם,98.00 ₪,88.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">44.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
יום אחד הוא פשוט מופיע במקום העבודה שלה. גבר יפה, מלוכלך ומאובק, מחזיק חבילה בידו. קייסי פותחת את הצרור כמעט בחוסר עניין, ונדהמת. כאוצרת במוזיאון, היא בקושי מצליחה להסתיר את התרגשותה. הגבר היפה הביא איתו אוצר: בקבוק ויסקי עתיק ונדיר, שמצא טמון בקיר הבית שהוא משפץ. 

1918.
המלחמה הגדולה עדיין מתחוללת. אדל סוואר, אחות צעירה בבית חולים שדה בבלגיה, מטפלת בעדינות אין קץ בג’רי, החולה המיוחד שלה. משהו בו מרגש אותה. האם זאת העובדה שגילתה שאי אז, בקנדה הרחוקה, הם היו כמעט שכנים? לחרדתה, ג’רי הולך ונרפא ובעוד רגע ישוב לחזית. ואז? מה יהיה אז?

שנים יחלפו עד שהקצוות הפרומים ישובו ויתחברו, עד שג’רי ואדל ייפגשו שוב, באקראי, והפעם הוא יהיה זה שיציל אותה. תקופה ארוכה תחלוף גם עד שקייסי והגבר עם בקבוק הוויסקי יגלו מה קרה בבית ההוא, לפני מאה שנים, וכיצד הם קשורים לסיפור האהבה של האחות והפצוע שטיפלה בו.
”בלובירד” הוא ספר שכולו סודות, חלקם עתיקים, חבויים עשרות שנים בתוך קירות בית נטוש, וחלקם אינם מדוברים, גם בין אוהבים. על כולם מרחפים מוראות המלחמה, לצד הרצון הטבעי, הפשוט כל כך, לשוב ולחיות. 

בלובירד הוא ספרה העשירי של ג’נבייב גרהאם, שהיה לרב מכר בינלאומי מיד עם צאתו לאור.
"
"
מהתלה אינסופית
",דיוויד פוסטר וואלאס,0.00 ₪,178.00 ₪,Not Available,0.00 ₪,89.00 ₪,Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
מהתלה אינסופית, רומן המופת המונומנטלי של דיוויד פוסטר וואלאס, ראה אור ב-1996 ומיד מיצב את מחברו כאחד הכותבים החשובים של זמננו. השבועון ”טיים” אף הכתיר את הספר כאחד ממאה הרומנים הגדולים של המאה ה-20 וראשית המאה ה-21. 

זהו טור-דה-פורס של סופר גאון. וואלאס בורא בו עולם אלטרנטיבי מצחיק, מבעית ופרוע. גלריית הדמויות המרהיבה שהוא מתאר ושלל קורותיהן – בפנימיית טניס לנוער, בהוסטל שיקומי למכורים ובמרחבי היישות המדינית החדשה של צפון אמריקה – מרכיבים ספר שלא ניתן להגדיר באמת, כְּתַב חידה ממכר שבלבו התחקות הרואית אחר הקשרים הסבוכים בין משפחות לא מתפקדות, כישרון אישי, שאפתנות, בדידות, דיכאון, התמכרות, אסקפיזם, מסחר ופוליטיקה, המגיעים לנקודות הקיצון שלהם. 

מהתלה אינסופית הוא בעת ובעונה אחת רומן פסיכולוגי-משפחתי שובר לב; ספר מתח וריגול; דיסטופיה נבואית סאטירית קורעת מצחוק; וביקורת פילוסופית-פוליטית נוקבת על אמריקה התאגידית המכורה לבידור ולעונג. אך מעל לכול זהו מכתב אהבה לבני אדם, תזכורת לכך שכל אחד ואחת מאתנו, מהנרקומן בפינת הרחוב ועד המדען המחונן, הוא עמוק ומורכב, ושאכן כולנו רקמה אנושית, חברתית ופוליטית אחת.


”וואלאס הוא הסופר המצחיק ביותר בדורו.” 
Voice Literary Supplement

”מבריק עד כדי כך שצריך להרכיב משקפי שמש כדי לקרוא בו. אבל לא רק שכל יש פה, אלא גם לב.”
Review of Contemporary Fiction

”רומן רב-תושייה, מצחיק בטירוף, אינטליגנטי ויחיד במינו. קוראים שיישארו אתו יגלו שהעולם כולו מואר בזכותו.”
The Atlantic
"
"
המדבר שבלב
",יובל שלומי,0.00 ₪,98.00 ₪,Not Available,0.00 ₪,37.00 ₪,Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת מקור 
","
”כאשר לנים בבית, המחשבות מגיעות עד לתקרה.
כאשר ישנים תחת כיפת השמיים, הן מזנקות עד לכוכבים”
פתגם בדואי
”המדבר שבלב” מגולל את סיפור חברותם של שאולי, ”צבר” ישראלי וששת (ג’ומעה), בדואי מרמת הנגב. התהפוכות והשינויים שעברו השניים במהלך עשרות שנות חברותם, שינו את חייהם מהקצה אל הקצה. הם היו שותפים להרפתקאות הזויות ומפחידות, עסקו בעבריינות וחוו חברות אמיצה ללא פשרות, שהייתה חלק משמעותי ממארג חייהם הלא שגרתיים.

בספר ”המדבר שבלב” יש ביקורת נוקבת על החברה הישראלית ורשויות החוק ביחסם אל הפזורה הבדואית מחד וסיפור על חברות מיוחדת בין שני אנשים צעירים מקצוות מנוגדים של החברה הישראלית מאידך. ברגישות, כנות ואומץ לב נחשפים פרטים לא ידועים לציבור הישראלי על חייהם ומנהגיהם של הבדואים ומתוך החברות האמיצה בין שאולי לששת (ג’ומעה), אנחנו למדים על ערכים אנושיים כמו חברות, משפחה, גבול הנאמנות בין אדם לאדם, ועוצמת האחריות ההדדית שבין חברים שקשרו את גורלם זה בזה.

יובל שלומי כותב שנים רבות על נושאים שנויים במחלוקת.
”המדבר שבלב” הוא ספרו השני שיוצא לאור. 
ספרו הראשון ”עץ המוות” שעוסק בנושא השלכותיו של מצב פוסט טראומתי, יצא לאור בשנת 2009 לאחר לבטים קשים בשל תוכנו הרגיש.
"
"
הטיטניק טובעת אבל הבופה פתוח
",לילך וולך,88.00 ₪,70.40 ₪,"
66.00 ₪
","<span class=""price"">44.00 ₪</span>","<span class=""price"">35.20 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת מקור 
","
שלומית ויונתן החליטו לעשות את זה ולשים את עצמם במקום הראשון. הם יסתדרו ויהיה בסדר. כל כך הרבה עוד מחכה להתגשם להם יחד: ארוחות ערב קטנות, נסיעות למשתלה בשבת, חופשות בסיני, פרקי אצבעות שילטפו גב חשוף מוקדם בבוקר במיטה. העתיד שלהם פתוח ויהיו להם חיים חדשים.
כששלומית הכירה את יונתן היא מכרה ספרים והוא כתב אותם. החיים הזוגיים שלה הלכו והתמעטו, אף על פי שעומר בעלה הוא בחור חמוד, טוב לכלבים ולחתולים, חבר טוב לחברים שלו, חרוץ ועובד קשה. החיים המשפחתיים של יונתן היו נינוחים, יציבים ומקסימים כמו אשתו אורנת. 
אבל עכשיו הם טווים לעצמם סיפור חדש. משהו משלהם. שייקח אותם מהחיים הרגילים שלהם. עכשיו נדמה גם שהחרדות הכי איומות מסוגלות להתגשם, ושהכישלונות הכי גדולים נמצאים בהישג יד. המתנה המופלאה, החד-פעמית, שהיא החיים, ממתינה שהם יעשו איתה משהו, והם מנסים. 
הטיטניק טובעת אבל הבופה פתוח הוא סיפור אהבה מתוק ומר, הכתוב במיומנות וברגישות, בחמלה ובהומור, על אהבה של אמצע החיים, אפשרית ובד בבד בלתי-מושגת. זהו סיפור על אנשים שעושים כמיטב יכולתם באומץ ובצעד כושל, בתשוקה ובטמטום, כדי לגעת או להיקשר. 
זוהי יצירת הביכורים בפרוזה של לילך וולך, פובליציסטית ועיתונאית, ילידת 1977, המתגוררת בתל אביב.
"
"
מסעות גוליבר
",ג’ונתן סוויפט,0.00 ₪,119.00 ₪,Not Available,0.00 ₪,54.00 ₪,Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
יצירתו המהוללת ביותר של ג’ונתן סוויפט זכתה למעמדה הרם בזכות ריבוי הפנים שלה. הרומן מסעות גוליבר הוא סטירה מושחזת ולוקלית, אך גם מסה פילוסופית אוניברסלית, יומן סיור מפוכח בנפש האדם ופנטזיית הרפתקאות יצרית, קודרת ומרנינה. את כל אלה מאגדת דמותו של למואל גוליבר, רופא פשוט ויורד ים היודע להתבונן בעצמו מנקודת מבטם של יצורי הפלא שהוא נקלע אל מחוזותיהם. יכולת זו מאלצת אותנו, הקוראים, לחוות את מלוא השוני והדמיון שבינינו ובין אותם יצורים ולעמת את ערכינו שלנו עם אלו של גמדים עסקניים, ענקים מיושבים, מלומדים מרחפים, סוסים נעלים ועוד.

תרגום זה לעברית כולל את כל ארבעת חלקי היצירה המקורית משנת 1726, ללא עיבודים וקיצורים שנועדו לבני הנעורים. כמו כן הוא כולל מבחר של פירושים, מאמרים ושירים שנכתבו על הספר ובהשראתו במהלך שלוש מאות השנים שחלפו מאז פרסומו. לספר נוספו שתי מסות מאת פרופ’ דוד פישלוב ואיילת ימיני.
"
"
פגישה בקצה הגשר
",מישקה בן דוד,98.00 ₪,78.40 ₪,"
73.50 ₪
","<span class=""price"">44.00 ₪</span>","<span class=""price"">28.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת מקור 
","
בחור צעיר עומד לצלול מגשר ברוקלין אל המים, אך יד שמניח על כתפו גבר זקן מונעת זאת ממנו. לכל אחד מהם יש סיבות משלו להשליך את עצמו מהגשר, אבל הם עוצרים כדי לדבר. לנוכח האפשרות הברורה של המוות, מעל המים השחורים, מקבלות השיחות ביניהם נופך אחר. 

הספר שלפניכם, על שני חלקיו – הנובלה ”פגישה בקצה הגשר” והמסה ”על המוות ועל משמעות החיים לנוכח המוות”, הוא הזמנה להתבוננות, מזווית אמנותית ומזווית מדעית-פילוסופית, על החיים ועל סופם. להכרה במוות יש השפעה שאין שנייה לה על האדם, על תפיסת עולמו, ועל הדרך שבה הוא מעבד את המתרחש סביבו ובתוכו. 
אם נדע לתת לאמת הזו לחלחל אל החיים, נוכל לצקת בהם את המשמעות הנכונה, המוצעת כאן. מתוך ידיעת הסוף צומחת ענווה, ומתגלים ההשלמה ואורח החיים הראוי.

מישקה בן-דוד, מחברם של רומנים, ספרי ריגול רבי מכר וספרי עיון פילוסופיים, מבקש בספרו זה לפזר את ערפל ההכחשה והפחד, ולאפשר לנו לגלות איך תורמת לחיינו דווקא הידיעה שמתישהו המסע שלנו יגיע אל סופו.
"
"
איזה עידן נפלא
",קיילי ריד,98.00 ₪,78.40 ₪,"
73.50 ₪
","<span class=""price"">48.00 ₪</span>","<span class=""price"">38.40 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
אליקס צ’מברליין, אישה מצליחה, המומה כשאמירה, הבייביסיטר השחורה של בתה, נחשדת בחטיפה ע”י השומר בסופרמרקט יוקרתי על סמך המראה שלה. המאורע המשפיל מתועד בסרטון, ואליקס מחליטה להוציא את הצדק לאור. 

באמירה הצעירה וחסרת האמצעים מעוררים הניסיונות של אליקס לעזור אי־נוחות. כשהסרטון משיב לחיי אליקס דמות מהעבר, מוצאות עצמן הנשים במסלול התנגשות שיהפוך כל מה שהניחו לגבי עצמן וזו לגבי זו.

רומן ביכורים שנון ועטור שבחים החושף את הגזענות הסמויה והעמדת הפנים של עידן הפוליטיקלי קורקט. 

הספר מועמד לפרס בּוקר והוכרז כספר השנה של ”הוושינגטון פוסט”, ”NPR” ועוד.
"
"
קליפקס הבשורה
",יהורם ליבונטין,0.00 ₪,98.00 ₪,Not Available,0.00 ₪,44.00 ₪,Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת מקור 
","
”... אפשר לומר שחייו של קליפקס נחלקים לשני חלקים: עד אותו ערב ומאותו ערב, ואילולא אותו שינוי, בין אם תרומתו לו הייתה מודעת ובין אם לא, הרי מן הסתם לא היה שמו של יוחאי קליפקס ידוע ושגור על שפתי כולם, כפי שהוא כיום וכפי שוודאי ייזכר בקרב הדורות הבאים.”

קליפקס – הבשורה הוא רומן סאטירי עכשווי, עתידני ומפוברק, מלא סתירות, שגיאות היסטוריות, סקס, שקרים ורדיפות פוליטיות. יוחאי קליפקס, האהוב על המין הנשי, שפוטר לא מכבר ממשרתו האפרורית, הוא נושא הבשורה של מאות אלפי אזרחים חדורי מהפכנות ואנרכיזם, בעידן שאחרי פרוץ המגפה ועם תום מלחמת האזרחים. 
אך מהי הבשורה של קליפקס? אפילו הוא אינו יודע, הוא לא מבין בזה כלום.

יוחאי קליפקס הוא רודף שמלות ונשים, שאוהבות אותו ושמחות להיכנס למיטתו בכל הזדמנות, ביחד או לחוד. ולאן זה הביא אותו? 

קליפקס – הבשורה הוא הרומן הראשון של יהורם ליבונטין, שגם הוא, במחילה, לא מבין בזה כלום.
"
"
מפליגים
",חגי ליניק,94.00 ₪,75.20 ₪,"
70.50 ₪
","<span class=""price"">44.00 ₪</span>","<span class=""price"">35.20 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת מקור 
","
ארבעה־עשר פרקי הספר, שדמויותיהם משותפות, הם זרימה זיגזגית של טקסט כביכול־אוטוביוגרפי. אפשר גם לקרוא רבים מהם כסיפורים נפרדים, אך המכלול הביוגרפי ממנף אותם אל עיקר המפציע מן היחסים ביניהם.

המספר המתעד, בן־דמותו של ליניק, הוא הצעיר בין שישה אחים, שהבכור בהם נהרג בתאונת אימונים בצבא. הזיכרונות שלו, הדלק של הספר, הם מצבור רוחש חיים, משתנה כל העת.

בפּירוּאֶטים אסוציאטיביים בין זמנים מערבל הספר סצנות של ילדות; התרחשויות בצל האח שנהרג; שתיקותיה של האם, שמעולם לא תפסה את בנה כמת מוחלט ומסתגרת דוּמם בחיים אלטרנטיביים אתו; ולעומת אלה – סצנות מלאות חיוניות של האב, קבלן בניין, ראש מועצה ומפ”מניק נלהב נאמן לסטלין; המציאות הגרוטסקית של קבוצת הכדורגל הפועל יהוד; האתגרים הלא־ייאמנו באימונים של הקומנדו הימי שהמספר שירת בו, ועוד.

כמו האם שבנה ההרוג צועד מולה במצעד צה”ל בירושלים, אם שגזרה את בניה האחרים מתוך תצלומי הילדות שלהם והדביקה אותם על פוסטר בחשכתו של יער עבות אירופי מילדותה, כך גם ליניק גוזר את דמויותיו ממסגרתן ההרגלית ומעביר אותן למסגרת בדויה או הזויה. אבל כמו במשחק בין הפועל יהוד להפועל דימונה, שלא ברור אם הוא באמת מכור, או כמו בגבולות המתמוססים בין האב הקבלן לפועל הערבי שלו, שניים המקיימים כל שנה בחברת נשותיהם שבוע נופש שבו נשמר ביניהם שוויון סוציאליסטי – הגבולות בין ממשות לבדיה נזילים. 

חגי ליניק הוא חתן פרס ספיר לשנת 2011. זה ספרו החמישי.
"
"
יריתי באמריקה
",תהילה חכימי,88.00 ₪,70.40 ₪,"
66.00 ₪
","<span class=""price"">38.00 ₪</span>","<span class=""price"">28.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת מקור 
","
גיבורת ”יריתי באמריקה”, ישראלית ברילוקיישן בארצות הברית, נחושה להשאיר את העבר מאחוריה ולחפש את מקומה בעבודה ובחיים שמחוצה לה. מה שנראה כסיפור של הגירה והסתגלות לתרבות חדשה, חושף זווית אחרת כשהיא מצטרפת אל חבריה לעבודה למסעות ציד בארץ המושלגת – ספק הרפתקה, ספק ריטואל חברתי. 
במהלך אותם מסעות ציד היא מפתחת יחסים יוצאי דופן עם אחד מעמיתיה, דייוויד, שמדריך ומלווה אותה. הגיבורה יורה שוב ושוב, משכללת ומדייקת את יכולות הציד שלה, ונשאבת לתוך עולם של אלימות מתכתית וחושניות אפלה. יחסיה עם דייוויד מעמיקים ככל שמעמדה המקצועי וביטחונה הפנימי מתערערים. בעוד היא לוקחת על עצמה את תפקיד הציידת-הרודפת, הבחירות שבחרה, או לא בחרה, רודפות אותה. מסעות הציד עם דייוויד הופכים למקום היציב היחיד בחייה של הגיבורה, המחפשת אחיזה בעולם – עד שיום אחד הכול משתנה. 
לרומן ”יריתי באמריקה” פנים רבות: הוא עוסק בחיי העבודה ובדינמיקה משרדית תועלתנית בה נשים משלמות מחיר כפול. הוא תוהה האם ניתן באמת להשתחרר מציפיות ומכבלים חברתיים. ”יריתי באמריקה” הוא גם ספר מותח ואפל שנוגע באלימות שקיימת בחברה הישראלית, וגם בזו האמריקאית, ואולי אף שוכנת בנפשו של כל אדם. הרומן מיטיב לתאר את נימי היחסים הדקיקים והשבירים של בני אדם עם הזולת, עם הטבע וגם עם עצמם. 
בסגנון ייחודי, מאופק אך פיוטי, מצליחה תהילה חכימי לכבוש את הקוראים. באמצעות כתיבה חזקה ובוטחת, היא בוראת עולם מוחשי ומהפנט ששואב אותנו לתוכו. זהו ללא ספק השיא במפעלה הנמשך של חכימי, המצייר, קו אחרי קו, דיוקן של נשיות ושל אנושיות, וממצב אותה כאחד הקולות הספרותיים הבולטים והחשובים בישראל.
"
"
מהלך מנצח
",אהוד דיסקין,98.00 ₪,78.40 ₪,"
73.50 ₪
","<span class=""price"">44.00 ₪</span>","<span class=""price"">35.20 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת מקור 
","
”מבטו של הקצין נמלא חמלה והוא אמר: ’צר לי לבשר לך שבנך יובל נעדר ולא ידוע איפה הוא עכשיו.’ דמעות החלו לזלוג על לחיי. ’דויד’, ניסיתי לומר לעצמי, ’פיקדת על פרטיזנים בבלארוס כמפקד במחתרת ה’זאבים’, לחמת בקום המדינה נגד בריטים וערבים, ועכשיו אתה מתנהג כמו ילד בכיין?’ אך מאמצי להירגע לא צלחו. ברגע זה גמרתי אומר להקדיש את כל מרצי, ניסיוני וכישורי למטרה אחת – לחלץ את יובל מהשבי.”
כך נפתח מהלך מנצח, רומן היסטורי שלישי מאת אהוד דיסקין. הפעם נשלחים הגיבורים המוכרים דויד ושושנה למצרים, למשימת ריגול שנועדה, בין השאר, לעמוד על טיבו של המרגל המצרי אשרף מרואן: האם הוא משרת את ישראל, ורק אותה, או שמא הוא סוכן כפול המוליך את מפעיליו הישראלים שולל?
בתחילת מלחמת יום הכיפורים בנם יובל נעלם משדה הקרב בסיני ומוכרז כנעדר. בתום המלחמה דויד מנסה לנצל את קשריו במצרים כדי לשחרר את בנו מהשבי. האם יצליח?
בנשימה עצורה יוצא הקורא, יחד עם שושנה ודויד, למשימות המורכבות שהוטלו עליהם, ומתוודע לאירועים שונים שהתחוללו באותה תקופה ונותרו עלומים עד כה. 
דיסקין, שבמלחמת יום הכיפורים שירת כקצין המבצעים של חטיבת הטנקים הראשונה שחצתה את תעלת סואץ, מגיש שוב לקוראים רומן היסטורי ססגוני ומרתק, רווי עצב, דרמה ורומנטיקה. 
אהוד דיסקין, אל”מ בדימוס ובעל תואר דוקטור במנהל עסקים, הוא איש עסקים ומחברם של שני רומנים היסטוריים רבי-מכר, ”זאב בודד בירושלים” ו”מפגש גורלי”, כמו גם של האוטוביוגרפיה ”הן אפשר”.
"
"
שפת התהומות
",משה וינשטוק,98.00 ₪,78.40 ₪,"
73.50 ₪
","<span class=""price"">48.00 ₪</span>","<span class=""price"">38.40 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת מקור 
","
שבריר מבט של אביו הנוקשה זורק את איתן בן העשרים ושלוש לנטוש הכול, לעזוב את המשק של הוריו ולצאת למסע הרה סכנות שבו יטולטלו חייו, ושפיותו תידחק עד לקצה. הוא מקווה שהמדבר ירפא את פצעי העבר, אך מצבו הפיזי והנפשי הולך ומסתבך, ומעלה באוב את כל כאביו.
שפת התהומות הוא סיפור על אנשים שאינם יודעים כיצד להתמודד עם הכרעות היסוד של חייהם: אם להשלים איתן, לנסות לתקן, או לקרוס תחת משא האשמה. זהו סיפור על אב שבינו לבין בנו ניצבת חומה בצורה של אי הבנה, על אם שחומה דומה ניצבה אי אז בינה לבין בתה, על חברות נפש שעולה על מוקש של אובדן ומוות, אך גם על אהבה עמוקה שמשתדלת – לא תמיד בהצלחה – להתגבר על כל המכשולים שעומדים בדרכה.
שפת התהומות נכתב מתוך מעמקיה של החברה הישראלית, מתהומות שבהן ההבחנות שחוצות אותה – בין חילונים ודתיים, נשים וגברים, מזרחים ואשכנזים, ערבים ויהודים – אינן מפלגות ומסכסכות אלא מפגישות ומקרבות. לא פלא שגם העברית שבה כתוב הרומן היא כזאת – מעשית וישירה אך גם פתוחה לכל רוח, רעננה ועשירת רבדים גם יחד. 

משה וינשטוק הוא איש חינוך ישראלי, בעל תואר דוקטור למחשבת ישראל מהאוניברסיטה העברית. שימש כיו”ר המזכירות הפדגוגית במשרד החינוך ובמגוון תפקידי הוראה וניהול, ופרסם ספרי עיון ומחקר בתחום ההגות היהודית וחקר הלמידה.
"
"
בית ספר לבנות ים
",לוסי קורטני,78.00 ₪,62.40 ₪,"
58.50 ₪
","<span class=""price"">44.00 ₪</span>","<span class=""price"">35.20 ₪</span>",Not Available,"
 תחום: 
 ראשית קריאה 
","
 תת תחום: 
 ראשית קריאה 
","
זֶהוּ יוֹמָהּ הָרִאשׁוֹן שֶׁל מָארְנִי בְּלוּ בְּבֵית הַסֵּפֶר לִבְנוֹת־יָם, וְהִיא מֻדְאֶגֶת. מָה אִם הִיא לֹא תִּרְכֹּשׁ חֲבֵרִים חֲדָשִׁים? אוֹ שֶׁתִּצְטָרֵךְ לִרְכֹּב עַל סוּס־יָם? וּמָה הַמּוֹרִים יַחְשְׁבוּ כְּשֶׁהֵם יְגַלּוּ שֶׁהַדּוֹדָה שֶׁלָּהּ הִיא כְּרִיסְטַבֶּל בְּלוּ, הַזַּמֶּרֶת הַמְּפֻרְסֶמֶת וְשַׁדְרָנִית הָרַדְיוֹ, אֲבָל גַּם בַּת־הַיָּם הַשּׁוֹבָבָה בְּיוֹתֵר בְּהִיסְטוֹרְיַת בֵּית הַסֵּפֶר?

מָארְנִי נְחוּשָׁה לִיצֹר רֹשֶׁם רִאשׁוֹנִי טוֹב,

אֲבָל מִשְׁפַּחַת בְּלוּ מֵעוֹלָם לֹא הִצְלִיחָה

לְהִתְרַחֵק מִצָּרוֹת...
"
"
הבהוב באפלה
",סטייסי ווילינגהם,104.00 ₪,83.20 ₪,"
78.00 ₪
","<span class=""price"">44.00 ₪</span>","<span class=""price"">28.00 ₪</span>",Not Available,"
 תחום: 
 מתח 
","
 תת תחום: 
 מתח 
","
קלואי לא שוכחת ולא תשכח לעולם את השנה ההיא. היא היתה רק בת 12. הנערות שנעלמו בעיירת ילדותה היו מבוגרות ממנה בשלוש שנים, בערך. בזו אחר זו הן נמוגו, כאילו בלעה אותן האדמה. אף אחת מהן לא חזרה. הרוצח הסדרתי הורשע מקץ זמן קצר על סמך הודאתו וראיות שנמצאו בביתו. כלומר, בביתה של קלואי. זה היה אבא שלה. קלואי היתה זו שהסגירה אותו, בבלי דעת, לידי המשטרה.
עשרים שנה חלפו מאז. קלואי עברה לעיירה אחרת בלואיזיאנה. עכשיו היא הפסיכולוגית ד”ר קלואי דייוויס. החיים שלה מספקים, העולם שלה מצוי בשליטה, עוד רגע היא גם תתחתן. זה נכון שמעת לעת היא נוטלת כדורים פסיכיאטריים, אבל זה רק הגיוני בעיניה, לאור הטראומה שעברה. 
אבל אז, לפתע, נעלמת נערה שביעית. 
ושמינית.
וקלואי מוצאת את עצמה בלב פרשה חדשה, נאבקת על שפיותה תוך שהיא מנסה לעצור את הרצח הבא.

הבהוב באפלה הוא רומן מתח פסיכולוגי המסופר בכישרון רב ובקצב מסחרר, ומצליח להפתיע עד לעמוד האחרון ממש.
ספרה של סטייסי ווילינגהם זכה להצלחה מסחררת, לביקורות משבחות ותורגם לשפות רבות.
"
"
מופע הבובות
",מ”ו קרייבן,0.00 ₪,98.00 ₪,Not Available,0.00 ₪,48.00 ₪,Not Available,"
 תחום: 
 מתח 
","
 תת תחום: 
 מתח 
","
שום דבר שאי־פעם קראתם לא יכין אתכם לבלש המטורף הזה!
רוצח סדרתי שורף אנשים חיים במעגלי האבנים הפרהיסטוריים של מחוז האגמים באנגליה. הוא לא משאיר רמזים, והמשטרה חסרת אונים.
כששמו נמצא חצוב בשרידים המפוחמים של הקורבן השלישי, הבלש המושפל וושינגטון פּוֹ מוחזר מהַשעיה ומעורב בחקירה שהוא לא רוצה לקחת חלק בה.
באי־רצון הוא חובֵר לאנליטיקאית מבריקה אך מאותגרת חברתית, טילי בּראדשו, והזוג הלא־תואם חושף שובל שרק הוא נועד לראות. לרוצח החמקמק יש תוכנית, ומשום מה פו הוא חלק ממנה.
ככל שמספר הגופות עולה, פו מגלה שהוא משקיע בתיק הרבה יותר משדִמיין. ובסיום מוחץ שינפץ את כל מה שהוא אי־פעם האמין על עצמו, פו ילמד שיש דברים הרבה יותר גרועים מלהישרף בחיים.
מ”ו קרֵייבֶן נולד באנגליה, ובגיל 16 ברח להתגייס לצבא. לאחר עשר שנות טיול בעולם השלים תואר בעבודה סוציאלית, קיבל תפקיד קצין מבחן במשטרה, ולבסוף הגיע לדרגת קצין ראשי. שנים מאוחר יותר הפך לסופר במשרה מלאה. מאז יש לו מניעים אחרים לגמרי לנסות להיכנס למוחם של פושעים... קרייבן נשוי ומתגורר בקרלייל עם אשתו ג’ואן. כשהוא לא יוצא עם הספרינגר ספנייל שלו או מדבר שטויות בפאב, אפשר למצוא אותו בהופעות פאנק ובפסטיבלי כתיבה ברחבי המדינה.
מופע הבובות זכה לשבחי המבקרים, תורגם לשפות רבות, והוא מעובד לטלוויזיה. 
”עלילה מפותלת מתוחכמת, דמויות מרתקות, הבזקי הומור, טוויסטים קריפיים – לא לבעלי לב חלש!” Crime Review
”קרייבן פורץ לזירה במופע מופתי עוצר נשימה וצמד גיבורים ראשיים שלא ראיתם כמותם.” Crime Fiction Lover
"
"
דמעות כסופות
",קמילה לקברג,98.00 ₪,78.40 ₪,"
73.50 ₪
","<span class=""price"">48.00 ₪</span>","<span class=""price"">28.00 ₪</span>",Not Available,"
 תחום: 
 מתח 
","
 תת תחום: 
 מתח 
","
סודה של אישה לא יכול להישאר קבור לנצח
היא נאלצה להילחם בכל שלב בדרך, אבל סוף־סוף יש לפיי את החיים ששאפה להם: היא עשירה, העסק שבנתה הפך למותג עולמי, ובעלה לשעבר - המפלצת שהרגה את בתה האהובה ג’וליאן – סגור עד סוף ימיו מאחורי סורג ובריח. 
אך במסתרים, מאחורי גבם של העיתונאים, השוטרים והמשקיעים, וגם ללא ידיעתם של המאהבים שהיא מזמינה מדי פעם למיטתה, לפיי יש סוד: בתה חיה וקיימת למעשה. וכך גם אִמה, האישה שאביה של פֵיי נשפט לפני שנים על הריגתה לכאורה.
יחד, שלושה דורות של נשים שרדו במחבוא מפני הגברים שביקשו להשמיד אותן. אבל למרבה צערהּ של פיי, כלובים סופם להיפתח, שיחה אינטימית עלולה להוביל לבגידה, וסודות תמיד מסתיימים בבכי.
קמילה לקברג נולדה בעיירת הדייגים הקטנה פיֶלבָּקָה, למדה כלכלה ומשפטים והקימה חברה משגשגת. ספריה זכו בפרסים ובהצלחה מסחרית בינלאומית חסרת תקדים: 26 מיליון עותקים נמכרו ברחבי העולם כולו. היא גרה בשטוקהולם.
”מחווה לאחוות־נשים איתנה, קריאת חובה לחובבי הז’אנר
הנוּאַר־נוֹרדי.” פבלישרז ויקלי
”עלילה מסחררת גדושה גילויים מפתיעים ופלאשבקים לילדותה האפלה מאוד של פֵיי, שמפלסת את דרכה אגב שלל שערוריות וסצנות סקס רעננות.” קירקוס
"
